"","Time","Spp","Colony","Core","Notes","Treatment","Replicate","Date","YII"
"312",0,"S.sid",27,"27-88","OK","Control ","R2","2017-09-01",0.466
"313",0,"S.sid",27,"27-90","OK","N ","R2","2017-09-01",0.481
"314",0,"S.sid",27,"27-91","OK","NP","R2","2017-09-01",0.484
"315",0,"S.sid",27,"27-94","OK","Control ","R1","2017-09-01",0.486
"316",0,"S.sid",27,"27-95","OK","N ","R1","2017-09-01",0.508
"317",0,"S.sid",27,"27-96","OK","NP","R1","2017-09-01",0.468
"318",0,"S.sid",27,"27-97","OK","Control ","R2","2017-09-01",0.506
"319",0,"S.sid",27,"27-98","OK","N ","R2","2017-09-01",0.463
"320",0,"S.sid",28,"28-2","Ok","Control ","R1","2017-09-01",0.531
"321",0,"S.sid",28,"28-3","Ok","N ","R1","2017-09-01",0.533
"322",0,"S.sid",28,"28-4","Ok","NP","R1","2017-09-01",0.538
"323",0,"S.sid",28,"28-5","Ok","Control ","R2","2017-09-01",0.561
"324",0,"S.sid",28,"28-6","Ok","N ","R2","2017-09-01",0.52
"325",0,"S.sid",28,"28-7","Ok","NP","R2","2017-09-01",0.56
"326",0,"S.sid",28,"28-8","Ok","Control ","R1","2017-09-01",0.54
"327",0,"S.sid",28,"28-9","Ok","N ","R1","2017-09-01",0.524
"328",0,"S.sid",28,"28-10","Ok","NP","R1","2017-09-01",0.539
"329",0,"S.sid",28,"28-11","Ok","Control ","R2","2017-09-01",0.531
"330",0,"S.sid",28,"28-13","Ok","N ","R2","2017-09-01",0.546
"331",0,"S.sid",28,"28-14","Ok","NP","R2","2017-09-01",0.533
"332",0,"S.sid",28,"28-15","Ok","Control ","R1","2017-09-01",0.539
"333",0,"S.sid",28,"28-18","Ok","N ","R1","2017-09-01",0.524
"334",0,"S.sid",28,"28-19","Ok","NP","R1","2017-09-01",0.531
"335",0,"S.sid",28,"28-20","Ok","Control ","R2","2017-09-01",0.541
"336",0,"S.sid",28,"28-21","Ok","N ","R2","2017-09-01",0.522
"337",0,"S.sid",28,"28-23","Ok","NP","R2","2017-09-01",0.536
"338",0,"S.sid",28,"28-29","Ok","N ","R2","2017-09-01",0.541
"339",0,"S.sid",28,"28-30","Ok","NP","R1","2017-09-01",0.55
"340",0,"S.sid",30,"30-1","OK","N ","R1","2017-09-01",0.543
"341",0,"S.sid",30,"30-2","OK","NP","R1","2017-09-01",0.557
"342",0,"S.sid",30,"30-3","OK","Control ","R2","2017-09-01",0.568
