Time,Spp,Colony,Core,Notes,Treatment,Replicate,Date,Picture,AOI,File ,variable.fragment
0,S.sid,22,22-62,OK,NP,R1,2017-09-01,7,12,7.csv,Y.II.12
0,S.sid,22,22-64,OK,Control ,R2,2017-09-01,7,13,7.csv,Y.II.13
0,S.sid,22,22-65,OK,N ,R2,2017-09-01,7,14,7.csv,Y.II.14
0,S.sid,23,23-1,OK,NP,R2,2017-09-01,9,1,9.csv,Y.II.1
0,S.sid,23,23-2,OK,Control ,R1,2017-09-01,9,2,9.csv,Y.II.2
0,S.sid,23,23-4,Meh,Control ,R1,2017-09-01,9,3,9.csv,Y.II.3
0,S.sid,23,23-5,Meh,N ,R1,2017-09-01,9,4,9.csv,Y.II.4
0,S.sid,23,23-6,OK,N ,R1,2017-09-01,9,5,9.csv,Y.II.5
0,S.sid,23,23-7,Meh,NP,R1,2017-09-01,9,6,9.csv,Y.II.6
0,S.sid,23,23-10,Meh,Control ,R2,2017-09-01,9,7,9.csv,Y.II.7
0,S.sid,23,23-11,OK,NP,R1,2017-09-01,9,8,9.csv,Y.II.8
0,S.sid,23,23-12,Broken,Control ,R2,2017-09-01,9,9,9.csv,Y.II.9
0,S.sid,23,23-13,OK,N ,R2,2017-09-01,9,10,9.csv,Y.II.10
0,S.sid,23,23-14,OK,NP,R2,2017-09-01,9,11,9.csv,Y.II.11
0,S.sid,23,23-15,OK,Control ,R1,2017-09-01,9,12,9.csv,Y.II.12
0,S.sid,23,23-16,OK,N ,R1,2017-09-01,9,13,9.csv,Y.II.13
0,S.sid,23,23-17,OK,NP,R1,2017-09-01,9,14,9.csv,Y.II.14
0,S.sid,23,23-18,Meh,N ,R2,2017-09-01,9,15,9.csv,Y.II.15
0,S.sid,23,23-19,Meh,NP,R2,2017-09-01,9,16,9.csv,Y.II.16
0,S.sid,23,23-20,OK,Control ,R2,2017-09-01,9,17,9.csv,Y.II.17
